,state,city,status
213,AR,FORREST CITY,11
214,AR,FORT SMITH,138
215,AR,FT. SMITH,29
216,AR,GASSVILLE,1
217,AR,GENTRY,1
218,AR,GRAVETTE,2
219,AR,GREENBRIER,5
220,AR,GREENWOOD,2
221,AR,HARRISON,25
222,AR,HARTFORD,1
223,AR,HEBER SPRINGS,1
224,AR,HELENA,3
225,AR,HOPE,3
226,AR,HORATIO,3
227,AR,HOT SPRINGS,40
228,AR,HOT SPRINGS VILLAGE,1
229,AR,HUGHES,1
230,AR,JACKSONVILLE,1
231,AR,JONESBORO,90
232,AR,JONESBORRO,1
233,AR,JUDSONIA,1
234,AR,LITTLE ROCK,2431
235,AR,"LITTLE ROCK,",5
236,AR,LITTLEROCK,2
237,AR,LOWELL,95
238,AR,MABELVALE,2
239,AR,MAGNOLIA,28
240,AR,MALVERN,1
241,AR,MARIANNA,1
242,AR,MARION,2
243,AR,MARVELL,1
244,AR,MAUMELLE,49
245,AR,MCGEHEE,1
246,AR,MENA,2
247,AR,MONTICELLO,6
248,AR,MORRILTON,6
249,AR,MOUNT IDA,1
250,AR,MOUNTAIN HOME,4
251,AR,MOUNTAIN VIEW,3
252,AR,MULBERRY,1
253,AR,N. LITTLE ROCK,1
254,AR,NASHVILLE,2
255,AR,NEWPORT,6
256,AR,NORTH LITTLE ROCK,128
257,AR,OSCEOLA,10
258,AR,PARAGOULD,4
259,AR,PARIS,1
260,AR,PHOENIX,1
261,AR,PINE BLUFF,63
262,AR,PORTLAND,3
263,AR,ROGERS,64
264,AR,RUSSELLVILLE,23
265,AR,SAN FRANCISCO,1
266,AR,SEARCY,29
267,AR,SHERWOOD,13
268,AR,SILOAM SPRINGS,35
269,AR,SIOAM SPRINGS,2
270,AR,SPRINGDALE,94
271,AR,STAR CITY,2
272,AR,STATE UNIVERSITY,48
273,AR,STEPHENS,2
274,AR,STUTTGART,4
275,AR,TRUMANN,1
276,AR,VAN BUREN,3
277,AR,WALDRON,2
278,AR,WALNUT RIDGE,4
279,AR,WARREN,2
280,AR,WEST HELENA,1
281,AR,WEST MEMPHIS,9
282,AR,WHEATLEY,1
283,AR,WILSON,1
284,AR,YUMA,1
285,AZ,AGUILA,2
286,AZ,AJO,74
287,AZ,APACHE JUNCTION,8
288,AZ,AVONDALE,8
289,AZ,BAGDAD,4
290,AZ,BAKERSFIELD,1
291,AZ,BENSON,9
292,AZ,BENTONVILLE,1
293,AZ,BISBEE,2
294,AZ,BUCKEYE,8
295,AZ,BULLHEAD CITY,25
296,AZ,CASA GRANDE,18
297,AZ,CAVA CREEK,1
298,AZ,CAVE CREEK,7
299,AZ,CHANDLER,2764
300,AZ,CHINLE,36
301,AZ,CHINO VALLEY,3
302,AZ,CIBECUE,21
303,AZ,COOLDIGE,1
304,AZ,COOLIDGE,33
305,AZ,COTTONWOOD,9
306,AZ,DOUGLAS,67
307,AZ,DOWNERS GROVE,1
308,AZ,EHRENBERG,2
309,AZ,FLAGSTAFF,156
310,AZ,FLORENCE,46
311,AZ,FORT APACHE,1
312,AZ,FORT DEFIANCE,12
313,AZ,FORT MOJAVE,2
314,AZ,FOUNTAIN HILLS,4
315,AZ,FT. DEFIANCE,15
316,AZ,GANADO,11
317,AZ,GILA BEND,17
318,AZ,GILBERT,106
319,AZ,GLENDALE,1168
320,AZ,GLOBE,8
321,AZ,GOLDEN VALLEY,2
322,AZ,GOODYEAR,22
323,AZ,GRAND CANYON,1
324,AZ,GREEN VALLEY,3
325,AZ,HEREFORD,1
326,AZ,HOLBROOK,3
327,AZ,KEAMS CANYON,1
328,AZ,KEARNY,2
329,AZ,KINGMAN,20
330,AZ,LAKE HAVASU CITY,9
331,AZ,LAS VEGAS,2
332,AZ,LITCHFIELD PARK,3
333,AZ,LITTLE ROCK,15
334,AZ,LOS ANGELES,1
335,AZ,MARANA,32
336,AZ,MARICOPA,4
337,AZ,MAYER,3
338,AZ,MESA,261
339,AZ,MIAMI,9
340,AZ,MOHAVE VALLEY,7
341,AZ,MORENCI,2
342,AZ,NOGALES,67
343,AZ,ORO VALLEY,2
344,AZ,PAGE,5
345,AZ,PARADISE VALLEY,4
346,AZ,PARKER,16
347,AZ,PAULDEN,2
348,AZ,PAYSON,5
349,AZ,PEACH SPRINGS,1
350,AZ,PEORIA,102
351,AZ,PHEONIX,3
352,AZ,PHOENEX,3
353,AZ,PHOENIX,6416
354,AZ,"PHOENIX,",1
355,AZ,"PHOENIX, AZ",1
356,AZ,PHOENIZ,1
357,AZ,PHONEIX,2
358,AZ,PHONIX,1
359,AZ,PINON,83
360,AZ,PRESCOTT,17
361,AZ,PRESCOTT VALLEY,2
362,AZ,QUEEN CREEK,14
363,AZ,RIMROCK,3
364,AZ,RIO RICO,35
365,AZ,ROCK POINT,4
366,AZ,ROLL,2
367,AZ,SALOME,9
368,AZ,SAN CARLOS,92
369,AZ,SAN LUIS,14
370,AZ,SCOTTDALE,3
371,AZ,SCOTTDSALE,1
372,AZ,SCOTTESDALE,1
373,AZ,SCOTTSDALE,2653
374,AZ,"SCOTTSDALE,",2
375,AZ,SCOTTSDEALE,1
376,AZ,SEDONA,12
377,AZ,SHOW LOW,2
378,AZ,SIERRA VISTA,6
379,AZ,SOMERTON,14
380,AZ,SPRING VALLEY,1
381,AZ,SPRINGERVILLE,2
382,AZ,STANFIELD,5
383,AZ,SUITE 470,1
384,AZ,SUN CITY,12
385,AZ,SUPERIOR,9
386,AZ,SURPRISE,28
387,AZ,TAYLOR,7
388,AZ,TEMPE,1867
389,AZ,TOLLESON,10
390,AZ,TUBA,2
391,AZ,TUBA CITY,111
392,AZ,TUCSON,1846
393,AZ,"TUCSON,",1
394,AZ,TUSCON,4
395,AZ,TUSCSON,1
396,AZ,VAIL,9
397,AZ,WELLTON,7
398,AZ,WHITERIVER,60
399,AZ,WILLCOX,37
400,AZ,WILLIAMS,2
401,AZ,WINDOW ROCK,3
402,AZ,WINSLOW,4
403,AZ,YUMA,145
404,CA,#435,1
405,CA,1600 AMPHITHEATRE PARKWAY,1
406,CA,16TH FLOOR,1
407,CA,"188 SPEAR STREET, SUITE 250",1
408,CA,29 PALMS,1
409,CA,5TH FLOOR,4
410,CA,651 BRANNAN STREET,1
411,CA,6TH FLOOR,1
412,CA,90670,1
413,CA,91711,1
414,CA,92407,1
415,CA,95112,2
416,CA,ADELANTO,3
417,CA,AGOURA,1
418,CA,AGOURA HILLS,379
419,CA,AGUORA HILLS,2
420,CA,ALAMEDA,293
421,CA,ALAMO,26
422,CA,ALBAMBRA,3
423,CA,ALBANY,17
424,CA,ALHAMBRA,188
425,CA,ALISA VIEJO,1
426,CA,ALISO VEIJO,1
427,CA,ALISO VIEJO,13956
428,CA,ALPINE,1
429,CA,ALTA LOMA,3
430,CA,ALTADENA,73
431,CA,ALTURAS,1
432,CA,ALVISO,143
433,CA,AMERICAN CANYON,11
434,CA,AMYP@EPAC.COM,1
435,CA,ANAHEIM,630
436,CA,ANAHEIM HILLLS,4
437,CA,ANAHEIM HILLS,26
438,CA,ANAHIEM,1
439,CA,ANDREWS,1
440,CA,ANGWIN,13
441,CA,ANTIOCH,22
442,CA,ANZA,20
443,CA,APPLE VALLEY,6
444,CA,APTOS,3
445,CA,ARCADIA,184
446,CA,ARCATA,27
447,CA,ARLETA,2
448,CA,ARROYO GRANDE,9
449,CA,ARTESIA,100
450,CA,ARVIN,6
451,CA,ATASCADERO,19
452,CA,ATHERTON,12
453,CA,ATWATER,7
454,CA,AUBURN,5
455,CA,AUSTIN,1
456,CA,AVALON,6
457,CA,AVENAL,1
458,CA,AVILA BEACH,2
459,CA,AZUSA,72
460,CA,AZUZA,1
461,CA,BAKER,2
462,CA,BAKERFIELD,2
463,CA,BAKERSFIELD,517
464,CA,BAKERSFILED,1
465,CA,BALDWIN,1
466,CA,BALDWIN PARK,31
467,CA,BALWIN PARK,1
468,CA,BANNING,4
469,CA,BARSTOW,7
470,CA,BAY POINT,6
471,CA,BEAUMONT,3
472,CA,BEAVERTON,1
473,CA,BEDFORD,1
474,CA,BEKERLEY,3
475,CA,BEL AIR,1
476,CA,BELL,15
477,CA,BELL CANYON,1
478,CA,BELL GARDENS,24
479,CA,BELLEVUE,7
480,CA,BELLFLOWER,12
481,CA,BELMONT,205
482,CA,BELVEDERE,4
483,CA,BENECIA,2
484,CA,BENICIA,93
485,CA,BENTONVILLE,23
486,CA,BERKELEY,2362
487,CA,BERMUDA DUNES,1
488,CA,BEVERLY HILLS,530
489,CA,BEVERLY HILLS DRIVE,1
490,CA,"BEVERLY HILLS,",5
491,CA,BIG SUR,2
492,CA,BLUE JAY,15
493,CA,BLYTHE,20
494,CA,BOLDWIN PARK,1
495,CA,BONSALL,12
496,CA,BOONVILLE,1
497,CA,BORON,11
498,CA,BORREGO SPRINGS,2
499,CA,BRAWLEY,14
500,CA,BREA,1558
501,CA,BREINIGSVILLE,9
502,CA,BREKELEY,2
503,CA,BRENTWOOD,16
504,CA,BRIDGEPORT,2
505,CA,BRIDGEVILLE,1
506,CA,BRIGHAM CITY,1
507,CA,BRISBANE,278
508,CA,BROOKLYN,1
509,CA,BUELLTON,5
510,CA,BUENA PARK,286
511,CA,BUFFALO,1
512,CA,"BUILDING B, SECOND FLOOR",2
513,CA,BURBANK,1469
514,CA,BURINGAME,1
515,CA,BURLINGAM,1
516,CA,BURLINGAME,686
517,CA,BURLINGGAME,1
518,CA,BURLINGLAME,2
519,CA,BURLINGTON,1
520,CA,CA,7
521,CA,CALA,1
522,CA,CALABAAS,1
523,CA,CALABASAS,939
524,CA,CALABASAS HILLS,1
525,CA,CALEXICO,13
526,CA,CALIFORNIA,1
527,CA,CALIPATRIA,12
528,CA,CALPATRIA,1
529,CA,CALSBAD,8
530,CA,CAMARILLO,321
531,CA,CAMBRIDGE,6
532,CA,CAMERON PARK,6
533,CA,CAMPBELL,1459
534,CA,CAMPBLEE,1
535,CA,CANOGA PARK,101
536,CA,CANYON COUNTRY,3
537,CA,CAPISTRANO BEACH,1
538,CA,CAPITOLA,4
539,CA,CARDIFF,2
540,CA,CARLSBAD,1764
541,CA,CARMEL,17
542,CA,CARMEL VALLEY,1
543,CA,CARMICHAEL,351
544,CA,CARMICHEAL,50
545,CA,CARPINTERIA,82
546,CA,CARSLBAD,2
547,CA,CARSON,229
548,CA,CARSON CITY,1
549,CA,CARUTHERS,1
550,CA,CASTAIC,2
551,CA,CASTRO VALLEY,18
552,CA,CASTROVILLE,2
553,CA,CATHEDRAL CITY,3
554,CA,CENTURY CITY,9
555,CA,CERES,9
556,CA,CERRITOS,353
557,CA,CHARTSWORTH,1
558,CA,CHATSWORH,1
559,CA,CHATSWORTH,357
560,CA,CHELMSFORD,1
561,CA,CHERRY VALLEY,1
562,CA,CHICAGO,2
563,CA,CHICO,87
564,CA,CHINO,229
565,CA,CHINO HILLS,75
566,CA,CHNIO,1
567,CA,CHOWCHILLA,2
568,CA,CHULA VISTA,154
569,CA,CINCINNATI,3
570,CA,CITRUS HEIGHTS,37
571,CA,CITY INDUSTRY,1
572,CA,CITY OF COMMERCE,12
573,CA,CITY OF INDUST,1
574,CA,CITY OF INDUSTRY,923
575,CA,CITY OF ORANGE,1
576,CA,CLAREMONT,101
577,CA,CLEARLAKE,5
578,CA,CLOVIS,80
579,CA,COACHELLA,5
580,CA,COALINGA,23
581,CA,COLFAX,1
582,CA,COLTON,20
583,CA,COMMERCE,148
584,CA,COMMERCIE,1
585,CA,COMPTON,112
586,CA,CONCORD,421
587,CA,COPPELL,7
588,CA,CORONA,223
589,CA,CORONA DEL MAR,16
590,CA,CORONADO,14
591,CA,CORRALITOS,2
592,CA,CORTE MADERA,108
593,CA,COSTA MESA,1035
594,CA,COSTA VISA,1
595,CA,COSTS MESA,2
596,CA,COTATI,3
597,CA,COTO DE CAZA,1
598,CA,COURT MADERA,3
599,CA,COVINA,113
600,CA,CRESCENT CITY,5
601,CA,CROCKETT,4
602,CA,CUDAHY,1
603,CA,CULVER CITY,907
604,CA,CULVERCITY,2
605,CA,CUPERTINO,11813
606,CA,CUPTERTINO,1
607,CA,CYPRESS,224
608,CA,DALLAS,6
609,CA,DALY,1
610,CA,DALY CITY,158
611,CA,DANA POINT,14
612,CA,DANVILLE,42
613,CA,DAVIS,1129
614,CA,DEL MAR,19
615,CA,DELANO,33
616,CA,DELHI,1
617,CA,DESCANO,2
618,CA,DESERT HOT SPRINGS,2
619,CA,DIAMOND BAR,706
620,CA,"DIAMOND BAR,",1
621,CA,DIAMOND SPRINGS,4
622,CA,DINUBA,11
623,CA,DIXON,5
624,CA,DOMINGUEZ HILLS,2
625,CA,DOVE CANYON,3
626,CA,DOWNEY,18
627,CA,DUARATE,1
628,CA,DUARTE,308
629,CA,DUBLIN,1178
630,CA,"DUBLIN, CA 94568",21
631,CA,DUNSMUIR,2
632,CA,DURATE,1
633,CA,DURHAM,2
634,CA,E DORADO HILLS,1
635,CA,E PALO ALTO,2
636,CA,E RANCHO DOMINGUEZ,5
637,CA,E. RANCHO DOMINGUEZ,7
638,CA,EAST PALO ALTO,38
639,CA,EAST RANCHO DOMINGUEZ,4
640,CA,EAST RANCHO DOMINGUZE,1
641,CA,EASTVALE,5
642,CA,EL CAJON,35
643,CA,EL CENTRO,53
644,CA,EL CERRITO,10
645,CA,EL DORADO,2
646,CA,EL DORADO HILLES,3
647,CA,EL DORADO HILLS,791
648,CA,EL DORADOHILLS,1
649,CA,EL MONTE,149
650,CA,"EL MONTE, CA 91732",1
651,CA,EL SEGNDO,16
652,CA,EL SEGUNDO,2991
653,CA,EL SEGUNDO AVENUE,1
654,CA,EL SEUNGO,1
655,CA,EL SGUNDO,2
656,CA,EL SOBRANTE,2
657,CA,EL SUGUNDO,1
658,CA,ELK GROVE,263
659,CA,ELKO,1
660,CA,ELVERTA,3
661,CA,EMERALD HILLS,2
662,CA,EMERVILLE,1
663,CA,EMERYVILLE,1123
664,CA,ENCINCO,1
665,CA,ENCINITAS,88
666,CA,ENCINO,264
667,CA,ENDICOTT,1
668,CA,ENGLEWOOD,21
669,CA,ESCINDIDO,1
670,CA,ESCONDIDO,41
671,CA,ESONDIDO,2
672,CA,EUREKA,12
673,CA,FAIR OAKS,41
674,CA,FAIR PLAY,1
675,CA,FAIRFIELD,74
676,CA,FAIRLESS HILLS,1
677,CA,FALLBROOK,8
678,CA,FAYATTEVILLE,2
679,CA,FELTON,2
680,CA,FERMONT,1
681,CA,FILLMORE,2
682,CA,FIREBAUGH,3
683,CA,FOLSOM,2788
684,CA,FONTANA,73
685,CA,FONTANTA,2
686,CA,FOOTHILL RANCH,265
687,CA,FOOTHILLS RANCH,1
688,CA,FORT BRAGG,2
689,CA,FORT COLLINS,3
690,CA,FOSTER CITY,3732
691,CA,FOUNTAIN VALLEY,161
692,CA,FOWLER,3
693,CA,FREEMONT,50
694,CA,FREMENT,3
695,CA,FREMOENT,1
696,CA,FREMOND,6
697,CA,FREMONT,24113
698,CA,FREMONT CA,1
699,CA,"FREMONT,",19
700,CA,FREMOUNT,1
701,CA,FRENCH CAMP,19
702,CA,FRESNO,405
703,CA,FULLERTON,735
704,CA,GAINESVILLE,1
705,CA,GALT,1
706,CA,GARDEN GLOVE,1
707,CA,GARDEN GROVE,125
708,CA,GARDENA,535
709,CA,GEYSERVILLE,1
710,CA,GILBERT,1
711,CA,GILORY,1
712,CA,GILROY,21
713,CA,GLELNDALE,1
714,CA,GLEN ELLEN,7
715,CA,GLENDALE,1545
716,CA,"GLENDALE,",3
717,CA,GLENDORA,18
718,CA,GOLATA,1
719,CA,GOLD RIVER,199
720,CA,GOLD RRIVER,32
721,CA,GOLDRIVER,1
722,CA,GOLETA,583
723,CA,GONZALES,14
724,CA,GOSHEN,4
725,CA,GRANADA HILLS,5
726,CA,GRAND RAPIDS,1
727,CA,GRAND TERRACE,1
728,CA,GRANITE BAY,10
729,CA,GRANITE CITY,1
730,CA,GRASS VALLEY,32
731,CA,GREENBRAE,5
732,CA,GREENFIELD,3
733,CA,GREENWICH,2
734,CA,GREENWOOD VILLAGE,1
735,CA,GREER,1
736,CA,GUADALUPE,4
737,CA,GUSTINE,1
738,CA,HACIENDA HEIGHTS,25
739,CA,HALF MOON BAY,36
740,CA,HANFORD,11
741,CA,HARBOR CITY,20
742,CA,HARTFORD,1
743,CA,HAVEN PARK,1
744,CA,HAWAIIAN GARDENS,3
745,CA,HAWTHORNE,153
746,CA,HAYWARD,786
747,CA,HEALDSBURG,14
748,CA,HELENDALE,1
749,CA,HEMET,29
750,CA,HENDERSON,2
751,CA,HERCULES,193
752,CA,HERMOSA BEACH,42
753,CA,HERNDON,3
754,CA,HESPERIA,4
755,CA,HIGHLAND PARK,2
756,CA,HILLSBOROUGH,9
757,CA,HILLSBOUROUGH,1
758,CA,HILMAR,36
759,CA,HOLLISTER,22
760,CA,HOLLYLWOOD,1
761,CA,HOLLYWOOD,249
762,CA,HOLTVILLE,4
763,CA,HONOLULU,1
764,CA,HOUSTON,2
765,CA,HUGHSON,4
766,CA,HUNGTINGTON BEACH,1
767,CA,HUNTINGTON BEACH,264
768,CA,HUNTINGTON PARK,20
769,CA,HYAMPOM,2
770,CA,IMPERIAL,6
771,CA,IMPERIAL BEACH,2
772,CA,INDIANAPOLIS,1
773,CA,INDIO,13
774,CA,INDUSTRY,9
775,CA,INGLEWOOD,75
776,CA,INGLEWWOD,1
777,CA,IRINE,1
778,CA,IRINVE,1
779,CA,IRIVINE,1
780,CA,IRIVNE,1
781,CA,IRVINE,10746
782,CA,IRVING,4
783,CA,IRVNE,1
784,CA,IRWINDALE,111
785,CA,JACKSON,1
786,CA,JAMUL,15
787,CA,JERSEY CITY,1
788,CA,JOSHUA TREE,1
789,CA,JURUPA VALLEY,2
790,CA,KAPOLEI,1
791,CA,KENTFIELD,5
792,CA,KERMAN,1
793,CA,KING CITY,2
794,CA,KINGSBURG,3
795,CA,LA,2
796,CA,LA  QUINTA,2
797,CA,LA CANADA,4
798,CA,LA CANADA FLINTRIDGE,3
799,CA,LA CRESCENTA,6
800,CA,LA HABRA,26
801,CA,LA HABRA HEIGHTS,3
802,CA,LA JOLLA,2173
803,CA,LA MESA,9
804,CA,LA MIRADA,68
805,CA,LA PALMA,326
806,CA,LA PUENTE,17
807,CA,LA PUETE,1
808,CA,LA PUNETE,1
809,CA,LA QUINTA,15
810,CA,LA VERNE,67
811,CA,LADERA RANCH,10
812,CA,LAFAYETTE,94
813,CA,LAGUNA BEAC H,1
814,CA,LAGUNA BEACH,45
815,CA,LAGUNA BUGUEL,1
816,CA,LAGUNA HILLS,122
817,CA,"LAGUNA HILLS,",1
818,CA,LAGUNA NIGUEL,37
819,CA,LAJOLLA,2
820,CA,LAKE  FOREST,1
821,CA,LAKE BALBOA,2
822,CA,LAKE ELSINORE,12
823,CA,LAKE FOREST,630
824,CA,LAKE MARY,2
825,CA,LAKEPORT,2
826,CA,LAKESIDE,3
827,CA,LAKEVIEW TERRACE,1
828,CA,LAKEWOOD,6
829,CA,LAMONT,3
830,CA,LANCASTER,49
831,CA,LAPALMA,5
832,CA,LARKSPUR,38
833,CA,LAS CRUCES,1
834,CA,LAS GATOS,63
835,CA,LAS VEGAS,4
836,CA,LATHROP,4
837,CA,LAVERNE,3
838,CA,LAWNDALE,6
839,CA,LAYTONVILLE,2
840,CA,LEMOORE,3
841,CA,LINCOLN,2
842,CA,LINDSAY,1
843,CA,LIVERMORE,861
844,CA,LIVINGSTON,8
845,CA,LO ANGELES,1
846,CA,LOA ALTOS,1
847,CA,LODI,17
848,CA,LOMA LINDA,96
849,CA,LOMITA,22
850,CA,LOMPOC,3
851,CA,LONG  BEACH,1
852,CA,LONG BEACH,1023
853,CA,LONG BEAHC,1
854,CA,LOS,1
855,CA,LOS  ANGELES,1
856,CA,LOS AGELES,3
857,CA,LOS ALAMITOS,5
858,CA,LOS ALTOS,534
859,CA,LOS ALTOS HILLS,23
860,CA,LOS ANEGELES,1
861,CA,LOS ANELES,1
862,CA,LOS ANGELEAS,1
863,CA,LOS ANGELES,12019
864,CA,"LOS ANGELES,",1
865,CA,"LOS ANGELES, CA",2
866,CA,"LOS ANGELES, CA,  90034",3
867,CA,LOS ANGELOS,2
868,CA,LOS ANGELS,2
869,CA,LOS ANGLEES,1
870,CA,LOS ANGLELES,1
871,CA,LOS ANGLES,16
872,CA,LOS BANOS,18
873,CA,LOS GAOTS,3
874,CA,LOS GATOS,1684
875,CA,"LOS GATOS, CA 95032",1
876,CA,LOS OLIVOS,1
877,CA,LOST HILLS,7
878,CA,LYNWOOD,16
879,CA,MADERA,49
880,CA,MAGALIA,1
881,CA,MALIBU,113
882,CA,MAMMOTH LAKES,4
883,CA,MANHATTAN BEACH,118
884,CA,MANHATTANBEACH,1
885,CA,MANTECA,20
886,CA,MARICOPA,1
887,CA,MARINA,3
888,CA,MARINA DEL RAY,5
889,CA,MARINA DEL REY,193
890,CA,MARTINEZ,27
891,CA,MARYSVILLE,16
892,CA,MASON,1
893,CA,MCCLELLAN,11
894,CA,MEADOW VISTA,1
895,CA,MECCA,2
896,CA,MELO PARK,1
897,CA,MENIFEE,4
898,CA,MENLO PARK,6368
899,CA,"MENLO PARK, CA 94025",1
900,CA,MERCED,166
901,CA,MERRIMACK,1
902,CA,MID VALLEY,1
903,CA,MILIPITAS,23
904,CA,MILITAS,1
905,CA,MILL VALLEY,129
906,CA,MILLBRAE,72
907,CA,MILLBREA,1
908,CA,MILPITAL,1
